25/3/2022 23:54,b'The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/O4ePpgGjJE',1
25/3/2022 23:54,b'The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/ipGtrpxrXQ',1
25/3/2022 23:54,b'The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/1nBYiKEono',1
25/3/2022 23:54,b'The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/IOcCpWbkuO',1
25/3/2022 23:54,b'The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/32Dvy9UZBQ',1
25/3/2022 23:53,b'TBI Issues Amber Alert for Franklin Child: https://t.co/IEo6D1iS5N',1
25/3/2022 23:51,"b'@TBInvestigation @FranklinTNPD Why did it take also a month to issue and Amber Alert,Duh! A month, What\xe2\x80\x99s up with That???'",0
25/3/2022 23:47,b'\xf0\x9f\x9a\xa8 AMBER Alert \xf0\x9f\x9a\xa8 | TBI has issued an AMBER Alert for a one-year-old child who has gone missing out of Franklin.\n\nThe\xe2\x80\xa6 https://t.co/JBQ6rABwID',1
25/3/2022 23:47,"b""@TBInvestigation @FranklinTNPD I thought it was a mistake because it had been so long.  But it's not race related.\xe2\x80\xa6 https://t.co/WaPpQvQKPi""",0
25/3/2022 23:46,"b'TBI Issues Amber Alert for Franklin, TN Child - https://t.co/RHPAgkH7ZM'",1
25/3/2022 23:45,b'Just looked at previous amber alerts made by the TBI and white children were posted within a few days yet it took y\xe2\x80\xa6 https://t.co/k6DgekfR29',0
25/3/2022 23:45,"b'TENNESSEE AMBER ALERT: Father wanted in connection to missing 1-year-old child, TBI says  https://t.co/1KvQqPnTxb'",1
25/3/2022 23:43,b'@TBInvestigation @MEM_PoliceDept @FranklinTNPD So a month later we get an Amber alert regarding a child of color mi\xe2\x80\xa6 https://t.co/yOLQfG0maV',0
25/3/2022 23:43,"b'TBI Issues Amber Alert for Franklin, TN Child: https://t.co/Ba55JOrY8Z'",1
25/3/2022 23:40,b'Amber alert for Nashville area - Franklin TN #amberalert #nashville https://t.co/XYz5Vfe5S5',1
25/3/2022 23:38,b'#BREAKING @AMBERAlert issued by @TBInvestigation for missing Middle Tennessee baby:\n\nhttps://t.co/siSOd1i98q',1
25/3/2022 23:38,"b'@FranklinTNPD your feed is blowing up about a month long delayed amber alert, we are all waiting for a response. Wa\xe2\x80\xa6 https://t.co/t44v6Uxoau'",0
25/3/2022 23:37,b'AMBER Alert issued for Franklin child https://t.co/INaa6BnskP',1
25/3/2022 23:37,b'TBI issues Amber Alert for missing Middle Tennessee 1-year-old baby https://t.co/ev2tP9wPQl',1
25/3/2022 23:37,"b'AMBER ALERT: The TBI is asking for help finding a one-year-old missing out of Franklin, Tennessee. She is believed\xe2\x80\xa6 https://t.co/WTeAD03by8'",1
25/3/2022 23:36,b'TBI issues Amber Alert for missing Middle Tennessee 1-year-old baby https://t.co/2nscxKZqG0',1
